2016-12-22,(AM),Heavy Traffic:257,Other:72,Mechanical Problem:42,(PM),Heavy Traffic:48,Other:14,Mechanical Problem:12
2016-12-29,(AM),Heavy Traffic:488,Other:109,Mechanical Problem:103,(PM),Heavy Traffic:51,Mechanical Problem:34,Other:29
2017-01-05,(AM),Heavy Traffic:1477,Other:275,Mechanical Problem:249,(PM),Heavy Traffic:100,Other:71,Mechanical Problem:68
2017-01-12,(AM),Heavy Traffic:1117,Other:201,Mechanical Problem:102,(PM),Heavy Traffic:123,Other:51,Mechanical Problem:43
2017-01-19,(AM),Heavy Traffic:1125,Other:228,Mechanical Problem:142,(PM),Heavy Traffic:126,Mechanical Problem:64,Other:55
2017-01-26,(AM),Heavy Traffic:1064,Other:200,Mechanical Problem:121,(PM),Heavy Traffic:121,Mechanical Problem:54,Won`t Start:51
2017-02-02,(AM),Heavy Traffic:1140,Other:222,Mechanical Problem:174,(PM),Heavy Traffic:150,Mechanical Problem:73,Other:63
2017-02-09,(AM),Heavy Traffic:887,Weather Conditions:410,Other:171,(PM),Heavy Traffic:123,Other:48,Mechanical Problem:45
2017-02-16,(AM),Heavy Traffic:314,Other:69,Mechanical Problem:51,(PM),Heavy Traffic:80,Other:32,Mechanical Problem:27
2017-02-23,(AM),Heavy Traffic:550,Other:174,Mechanical Problem:95,(PM),Heavy Traffic:92,Mechanical Problem:61,Other:38
2017-03-02,(AM),Heavy Traffic:809,Other:178,Mechanical Problem:130,(PM),Heavy Traffic:137,Mechanical Problem:57,Other:36
2017-03-09,(AM),Heavy Traffic:520,Weather Conditions:486,Other:105,(PM),Heavy Traffic:72,Other:31,Mechanical Problem:24
2017-03-16,(AM),Heavy Traffic:1238,Other:222,Mechanical Problem:155,(PM),Heavy Traffic:261,Mechanical Problem:58,Other:45
2017-03-23,(AM),Heavy Traffic:1119,Other:157,Mechanical Problem:137,(PM),Heavy Traffic:163,Mechanical Problem:60,Late return from Field Trip:51
2017-03-30,(AM),Heavy Traffic:1436,Other:186,Mechanical Problem:151,(PM),Heavy Traffic:214,Late return from Field Trip:71,Mechanical Problem:62
